Word / POS / COUNT
judgments / NOUN / 1
rendered / VERB / 3
upon / PREPOSITION / 12
soundness / NOUN / 1
historicism / NOUN / 1
based / VERB / 2
scanty / ADJECTIVE / 1
evidence / NOUN / 7
what / DETERMINER / 16
available / ADJECTIVE / 2
would / MODAL_AUXILIARY / 45
seem / VERB / 4
indicate / VERB / 2
unlike / PREPOSITION / 2
older / ADJECTIVE / 5
brother / NOUN / 5
henry / NOUN / 11
most / DETERMINER / 8
methodological / ADJECTIVE / 2
vices / NOUN / 1
usually / None / 3
found / VERB / 9
amateur / NOUN / 1
credulousness / NOUN / 1
distaste / NOUN / 1
for / PREPOSITION / 165
documentation / NOUN / 2
uncritical / ADJECTIVE / 1
reliance / NOUN / 1
contemporary / ADJECTIVE / 2
accounts / NOUN / 2
proneness / NOUN / 1
assume / VERB / 7
theory / NOUN / 3
true / ADJECTIVE / 2
before / CONJUNCTION / 12
adequate / ADJECTIVE / 2
proof / NOUN / 2
provided / VERB / 4
evidences / NOUN / 1
comprehend / VERB / 1
scientific / ADJECTIVE / 2
method / NOUN / 4
evaluate / VERB / 1
responsibilities / NOUN / 3
reading / VERB / 2
public / NOUN / 2
this / DETERMINER / 77
not / OTHER / 70
work / NOUN / 7
merit / NOUN / 1
but / CONJUNCTION / 74
validity / NOUN / 2
assumptions / NOUN / 2
concerning / PREPOSITION / 3
meaning / NOUN / 1
always / None / 8
considered / VERB / 3
against / PREPOSITION / 6
background / NOUN / 1
unprofessional / ADJECTIVE / 1
approach / NOUN / 3
credulity / NOUN / 1
perhaps / None / 7
best / None / 3
illustrated / VERB / 1
introduction / NOUN / 1
purports / VERB / 1
examine / VERB / 3
trials / NOUN / 2
moses / NOUN / 1
draw / VERB / 2
parallel / NOUN / 2
between / PREPOSITION / 10
leader / NOUN / 1
israelite / NOUN / 1
exodus / NOUN / 1
from / PREPOSITION / 89
egypt / NOUN / 2
leadership / NOUN / 5
clergy / NOUN / 2
colonial / ADJECTIVE / 1
much / DETERMINER / 12
criticism / NOUN / 2
leveled / VERB / 1
forced / VERB / 6
analogy / NOUN / 1
significant / ADJECTIVE / 3
adams' / NOUN / 3
complete / ADJECTIVE / 3
acceptance / NOUN / 1
biblical / ADJECTIVE / 1
record / NOUN / 1
good / ADJECTIVE / 16
trustworthy / ADJECTIVE / 2
light / NOUN / 6
scholarly / ADJECTIVE / 1
reappraisals / NOUN / 1
engendered / VERB / 1
higher / ADJECTIVE / 1
remarkable / ADJECTIVE / 1
statement / NOUN / 2
particularly / None / 2
coming / VERB / 6
one / PRONOUN / 11
who / PRONOUN / 44
well / None / 13
known / VERB / 3
antifundamentalist / NOUN / 1
views / NOUN / 2
desire / NOUN / 2
substantiate / VERB / 1
thesis / NOUN / 1
expense / NOUN / 4
sound / ADJECTIVE / 2
research / NOUN / 3
technique / NOUN / 1
smacks / VERB / 1
more / DETERMINER / 21
propagandist / NOUN / 1
than / CONJUNCTION / 24
similar / ADJECTIVE / 7
amateurish / ADJECTIVE / 1
characteristic / NOUN / 2
revealed / VERB / 2
check / VERB / 1
accuracy / NOUN / 1
authenticity / NOUN / 1
informational / ADJECTIVE / 1
sources / NOUN / 4
data / NOUN / 1
fitted / VERB / 2
general / ADJECTIVE / 4
plan / NOUN / 2
counted / VERB / 2
conversely / None / 1
statistics / NOUN / 2
uncovered / VERB / 1
contradicted / VERB / 1
cherished / VERB / 2
denounced / VERB / 1
faulty / ADJECTIVE / 1
such / ADJECTIVE / 17
manipulations / NOUN / 1
frequently / None / 2
encountered / VERB / 1
essay / NOUN / 2
suppression / NOUN / 1
monasteries / NOUN / 1
during / PREPOSITION / 17
english / ADJECTIVE / 1
reformation / NOUN / 1
depended / VERB / 1
largely / None / 2
dispatches / NOUN / 1
foreign / ADJECTIVE / 5
ambassadors / NOUN / 1
observers / NOUN / 1
england / NOUN / 6
claiming / VERB / 2
reports / NOUN / 1
agents / NOUN / 2
accurate / ADJECTIVE / 1
because / CONJUNCTION / 13
there / OTHER / 28
newspapers / NOUN / 1
certainly / None / 8
irrational / ADJECTIVE / 1
dogmatism / NOUN / 2
modern / ADJECTIVE / 2
mind / NOUN / 4
attempts / VERB / 1
understand / VERB / 3
spirit / NOUN / 3
sixteenth / NUMBER / 1
century / NOUN / 3
twentieth-century / NOUN / 1
terms / NOUN / 5
moreover / None / 5
rejects / VERB / 1
englishmen / NOUN / 3
casually / None / 1
adjudging / VERB / 1
them / PRONOUN / 43
distorted / VERB / 1
prejudice / NOUN / 1
opinions / NOUN / 3
value / NOUN / 3
exposited / VERB / 1
observation / NOUN / 1
inherent / ADJECTIVE / 1
prejudices / NOUN / 1
anglophobia / NOUN / 1
fairness / NOUN / 2
admitted / VERB / 1
made / VERB / 24
pretense / NOUN / 1
being / VERB / 15
impartial / ADJECTIVE / 3
impartiality / NOUN / 1
him / PRONOUN / 35
meant / VERB / 1
unwillingness / NOUN / 1
generalize / VERB / 1
search / VERB / 1
synthesis / NOUN / 1
deplored / VERB / 1
german / ADJECTIVE / 3
historiography / NOUN / 2
writing / NOUN / 2
terming / VERB / 1
dismal / ADJECTIVE / 1
monster / NOUN / 1
ranke / NOUN / 1
disciples / NOUN / 1
reduced / VERB / 2
profession / NOUN / 1
dullness / NOUN / 1
; / OTHER / 52
preferred / VERB / 1
chronicles / NOUN / 1
froissart / NOUN / 1
style / NOUN / 1
theorizing / NOUN / 1
edward / NOUN / 5
gibbon / NOUN / 1
for / CONJUNCTION / 6
least / DETERMINER / 10
took / VERB / 5
stand / NOUN / 1
issues / NOUN / 5
wrote / VERB / 10
eloquently / None / 1
william / NOUN / 9
james / NOUN / 8
impossible / ADJECTIVE / 1
undesirable / ADJECTIVE / 1
convinced / VERB / 2
own / ADJECTIVE / 15
correctness / NOUN / 1
then / None / 30
allow / VERB / 2
vision / NOUN / 3
become / VERB / 10
fogged / VERB / 1
disturbing / ADJECTIVE / 1
facts / NOUN / 6
error / NOUN / 1
basic / ADJECTIVE / 3
trait / NOUN / 1
separated / VERB / 2
ranks / NOUN / 1
led / VERB / 3
commit / VERB / 1
time / NOUN / 25
again / None / 10
serious / ADJECTIVE / 2
offense / NOUN / 1
historical / ADJECTIVE / 4
-- / OTHER / 59
namely / None / 1
tendency / NOUN / 1
truth / NOUN / 3
hypothesis / NOUN / 2
submitting / VERB / 1
test / NOUN / 3
reflects / VERB / 1
dogmatic / ADJECTIVE / 1
page / NOUN / 2
seems / VERB / 3
one / CONJUNCTION / 39
unproved / ADJECTIVE / 1
generalization / NOUN / 1
example / NOUN / 5
assertion / NOUN / 1
servile / ADJECTIVE / 1
revolts / NOUN / 2
dealt / VERB / 3
with / PREPOSITION / 134
force / NOUN / 4
explanation / NOUN / 1
nor / CONJUNCTION / 3
qualification / NOUN / 2
bald / ADJECTIVE / 1
undefined / ADJECTIVE / 1
compulsion / NOUN / 3
repelled / VERB / 1
matters / NOUN / 2
race / NOUN / 3
similarly / None / 1
inflexible / ADJECTIVE / 1
: / OTHER / 23
latin / ADJECTIVE / 1
inherited / VERB / 1
rigidity / NOUN / 2
roman / ADJECTIVE / 1
cites / VERB / 1
typifying / VERB / 1
makes / VERB / 3
mention / NOUN / 1
italians / NOUN / 1
able / ADJECTIVE / 8
adapt / VERB / 1
types / NOUN / 1
circumstances / NOUN / 2
pontificates / VERB / 1
first / NUMBER / 24
signs / NOUN / 1
advancing / VERB / 1
civilization / NOUN / 2
women / NOUN / 3
men's / NOUN / 2
eyes / NOUN / 5
difference / NOUN / 3
points / VERB / 2
opposite / ADJECTIVE / 1
conclusion / NOUN / 1
up / None / 40
critics / NOUN / 1
methods / NOUN / 2
observed / VERB / 2
particular / ADJECTIVE / 1
deficiency / NOUN / 1
j. / NOUN / 5
t. / NOUN / 2
shotwell / NOUN / 1
appalled / VERB / 1
spurious / ADJECTIVE / 1
that / DETERMINER / 45
attributed / VERB / 1
carolingian / ADJECTIVE / 1
empire / NOUN / 3
woolen / NOUN / 1
trade / NOUN / 12
urged / VERB / 2
transform / VERB / 1
real / ADJECTIVE / 3
embodying / VERB / 1
merely / None / 2
fit / VERB / 1
also / None / 21
modifications / NOUN / 1
exceptions / NOUN / 1
a. / NOUN / 8
m. / NOUN / 3
wergeland / NOUN / 1
called / VERB / 5
literally / None / 2
antihistorical / ADJECTIVE / 1
while / CONJUNCTION / 11
clive / NOUN / 1
day / NOUN / 15
maintained / VERB / 2
confined / VERB / 1
theories / NOUN / 1
alone / None / 3
applicable / ADJECTIVE / 1
straight / ADJECTIVE / 2
factual / ADJECTIVE / 1
stated / VERB / 1
omits / VERB / 1
tend / VERB / 1
disprove / VERB / 1
even / None / 18
d. / NOUN / 6
wasson / NOUN / 1
compared / VERB / 1
lifting / NOUN / 1
fog / NOUN / 1
ancient / ADJECTIVE / 1
landscapes / NOUN / 1
admit / VERB / 1
deficiencies / NOUN / 1
author / NOUN / 3
summary / NOUN / 2
felt / VERB / 2
nature / NOUN / 8
order / NOUN / 9
discovered / VERB / 2
much / None / 1
subject / ADJECTIVE / 2
laws / NOUN / 6
forces / NOUN / 6
believed / VERB / 4
lacked / VERB / 2
essential / ADJECTIVE / 3
instruments / NOUN / 1
proper / ADJECTIVE / 3
despite / PREPOSITION / 4
insight / NOUN / 1
many / DETERMINER / 12
observations / NOUN / 1
conclusions / NOUN / 2
open / ADJECTIVE / 5
suspicion / NOUN / 1
because / None / 9
employ / VERB / 2
times / NOUN / 4
correct / ADJECTIVE / 2
prejudice / VERB / 1
evaluation / NOUN / 1
findings / NOUN / 2
investigator / NOUN / 1
important / ADJECTIVE / 6
concept / NOUN / 1
shaped / VERB / 1
direction / NOUN / 3
thought / NOUN / 2
final / ADJECTIVE / 1
analysis / NOUN / 1
contribution / NOUN / 2
american / ADJECTIVE / 14
founded / VERB / 2
religion / NOUN / 11
economics / NOUN / 1
darwinism / NOUN / 1
three / CONJUNCTION / 7
factors / NOUN / 2
conditioned / VERB / 1
search / NOUN / 2
supernaturalism / NOUN / 1
manifestation / NOUN / 1
fear / NOUN / 3
unknown / NOUN / 2
nothing / PRONOUN / 4
churches / NOUN / 1
created / VERB / 3
man / NOUN / 13
god / NOUN / 5
did / VERB / 21
deny / VERB / 1
simply / None / 1
believe / VERB / 3
intervened / VERB / 1
interfered / VERB / 1
human / ADJECTIVE / 8
affairs / NOUN / 2
need / VERB / 9
concerned / VERB / 4
philosophical / ADJECTIVE / 1
problems / NOUN / 5
suggested / VERB / 2
positive / ADJECTIVE / 2
negative / ADJECTIVE / 1
type / NOUN / 3
actions / NOUN / 1
world / NOUN / 14
since / CONJUNCTION / 10
interested / VERB / 3
terrestrial / ADJECTIVE / 1
activity / NOUN / 4
eliminate / VERB / 1
supernatural / NOUN / 2
furthermore / None / 1
regard / VERB / 1
expression / NOUN / 2
recognize / VERB / 2
power / NOUN / 14
attempt / VERB / 3
ascertain / VERB / 1
flow / NOUN / 2
confuse / VERB / 1
mundane / ADJECTIVE / 1
divine / NOUN / 1
breaking / VERB / 3
new / ADJECTIVE / 24
ground / NOUN / 5
claimed / VERB / 1
worship / NOUN / 3
unseen / ADJECTIVE / 1
reflection / NOUN / 1
inability / NOUN / 2
cope / VERB / 2
students / NOUN / 1
anthropology / NOUN / 1
comparative / ADJECTIVE / 1
long / None / 1
aware / ADJECTIVE / 2
direct / ADJECTIVE / 2
connection / NOUN / 1
suggest / VERB / 1
incompetence / NOUN / 1
only / DETERMINER / 11
motivating / VERB / 1
factor / NOUN / 3
behind / PREPOSITION / 7
development / NOUN / 2
priestly / ADJECTIVE / 1
caste / NOUN / 1
function / NOUN / 1
society / NOUN / 2
mollify / VERB / 1
appease / VERB / 1
angry / ADJECTIVE / 1
deities / NOUN / 1
keep / VERB / 4
themselves / PRONOUN / 4
entrenched / VERB / 1
priests / NOUN / 2
demonstrate / VERB / 1
unique / ADJECTIVE / 1
status / NOUN / 3
through / PREPOSITION / 16
miracle / NOUN / 2
kept / VERB / 2
business / NOUN / 9
barbarians / NOUN / 1
fourth / NUMBER / 2
offered / VERB / 1
excellent / ADJECTIVE / 2
germans / NOUN / 2
simple / ADJECTIVE / 2
comprehended / VERB / 1
little / DETERMINER / 6
therefore / None / 3
referred / VERB / 5
phenomena / NOUN / 1
supernatural / ADJECTIVE / 1
intervention / NOUN / 2
controlled / VERB / 1
thus / None / 6
invasions / NOUN / 1
caused / VERB / 3
rapid / ADJECTIVE / 2
rise / NOUN / 2
sacred / ADJECTIVE / 2
class / NOUN / 3
every / None / 6
ecclesiastical / ADJECTIVE / 1
organization / NOUN / 3
rested / VERB / 1
proved / VERB / 3
divine / ADJECTIVE / 1
commission / NOUN / 1
elijah / NOUN / 1
once / CONJUNCTION / 4
such / None / 7
special / ADJECTIVE / 3
became / VERB / 10
vested / VERB / 1
interest / NOUN / 5
sought / VERB / 6
maintain / VERB / 3
assuming / VERB / 1
exclusive / ADJECTIVE / 2
control / NOUN / 2
relationships / NOUN / 1
born / VERB / 2
intrinsic / ADJECTIVE / 1
character / NOUN / 3
soon / None / 5
identified / VERB / 1
conservative / ADJECTIVE / 2
institution / NOUN / 1
determined / VERB / 2
resist / VERB / 1
change / NOUN / 2
identify / VERB / 1
political / ADJECTIVE / 7
rulers / NOUN / 1
kind / NOUN / 6
splendid / ADJECTIVE / 1
isolation / NOUN / 1
masses / NOUN / 2
doctrine / NOUN / 3
mysterious / ADJECTIVE / 2
believer / NOUN / 1
inspired / VERB / 1
church / NOUN / 2
tolerate / VERB / 1
having / VERB / 3
canons / NOUN / 1
examined / VERB / 1
we / PRONOUN / 65
these / DETERMINER / 26
ideas / NOUN / 1
major / ADJECTIVE / 4
keys / NOUN / 2
understanding / NOUN / 2
movement / NOUN / 2
dark / ADJECTIVE / 1
puritans / NOUN / 1
altered / VERB / 1
adherence / NOUN / 1
organized / VERB / 5
compelled / VERB / 1
make / VERB / 11
adjustments / NOUN / 1
increasing / VERB / 1
augmented / VERB / 1
traced / VERB / 1
evolution / NOUN / 1
pointing / VERB / 2
although / CONJUNCTION / 4
forms / NOUN / 2
rational / ADJECTIVE / 1
substance / NOUN / 1
remained / VERB / 5
unchanged / ADJECTIVE / 1
relic / NOUN / 1
monasticism / NOUN / 1
advanced / VERB / 3
primitive / ADJECTIVE / 1
fetish / NOUN / 1
myths / NOUN / 1
yet / None / 10
idea / NOUN / 8
imbedded / VERB / 1
each / DETERMINER / 11
identical / ADJECTIVE / 1
surround / VERB / 1
mystery / NOUN / 2
isolate / VERB / 1
given / VERB / 5
dominion / NOUN / 1
secrets / NOUN / 1
age / NOUN / 3
entire / ADJECTIVE / 2
culture / NOUN / 1
imagination / NOUN / 1
admiration / NOUN / 1
obviously / None / 4
held / VERB / 6
eras / NOUN / 1
betrays / VERB / 1
peculiar / ADJECTIVE / 1
religiosity / NOUN / 1
sentiment / NOUN / 1
probably / None / 8
denied / VERB / 1
slowly / None / 7
pulled / VERB / 4
out / None / 36
hand / NOUN / 13
throttle / NOUN / 1
until / CONJUNCTION / 5
boat / NOUN / 9
moving / VERB / 4
more / None / 4
than / PREPOSITION / 9
crawl / NOUN / 1
watched / VERB / 5
elaine / NOUN / 19
rapidly / None / 2
spin / VERB / 1
station / NOUN / 3
tune / VERB / 1
null / NOUN / 3
in / None / 12
line / NOUN / 5
chart / NOUN / 1
just / None / 8
far / None / 5
90 / CONJUNCTION / 1
degree / NOUN / 1
shore / NOUN / 2
came / VERB / 8
raising / VERB / 1
eyebrows / NOUN / 1
appreciatively / None / 1
saw / VERB / 4
now / None / 32
? / OTHER / 72
asked / VERB / 6
quick / None / 1
she / PRONOUN / 22
replied / VERB / 2
will / MODAL_AUXILIARY / 91
you / PRONOUN / 62
drop / VERB / 1
anchor / NOUN / 3
nodded / VERB / 4
swung / VERB / 4
below / None / 2
moment / NOUN / 8
later / None / 6
emerged / VERB / 2
forward / ADJECTIVE / 1
hatch / NOUN / 1
where / None / 15
picked / VERB / 3
rock / NOUN / 1
roll / NOUN / 1
music / NOUN / 3
radio / NOUN / 2
suddenly / None / 4
faded / VERB / 1
coasted / VERB / 2
reverse / VERB / 1
said / VERB / 13
peered / VERB / 1
loop / NOUN / 1
rdf / NOUN / 1
waved / VERB / 1
second / NUMBER / 6
wheel / NOUN / 1
backed / VERB / 1
off / None / 16
set / VERB / 8
ocean / NOUN / 6
floor / NOUN / 2
cut / VERB / 4
engines / NOUN / 2
cruiser / NOUN / 2
around / None / 9
end / NOUN / 7
lines / NOUN / 3
bow / NOUN / 1
wind / NOUN / 3
cockpit / NOUN / 3
faced / VERB / 2
toward / PREPOSITION / 9
nick / NOUN / 23
her / PRONOUN / 13
enviously / None / 1
efficiently / None / 1
started / VERB / 6
auxiliary / ADJECTIVE / 1
motor / NOUN / 2
wearing / VERB / 1
bathing / VERB / 2
trunks / NOUN / 2
price / NOUN / 2
tag / NOUN / 1
hung / VERB / 5
belt / NOUN / 1
entered / VERB / 3
chartroom / NOUN / 2
looked / VERB / 6
curiously / None / 1
wondered / VERB / 2
bought / VERB / 3
nobody / PRONOUN / 5
realized / VERB / 1
saying / VERB / 2
anything / PRONOUN / 4
under / PREPOSITION / 19
spell / NOUN / 2
excited / VERB / 1
conversation / NOUN / 1
somewhere / None / 1
below / PREPOSITION / 2
treasure / NOUN / 1
lost / VERB / 2
four / CONJUNCTION / 4
hundred / CONJUNCTION / 2
years / NOUN / 22
instead / None / 3
chatter / NOUN / 2
like / CONJUNCTION / 15
finder / NOUN / 1
once / None / 5
gone / VERB / 5
flying / VERB / 2
friends / NOUN / 10
small / ADJECTIVE / 14
private / ADJECTIVE / 1
airplane / NOUN / 1
single / DETERMINER / 4
engine / NOUN / 3
laughing / VERB / 1
joking / VERB / 1
failed / VERB / 2
screamed / VERB / 3
prayed / VERB / 1
fallen / VERB / 1
silence / NOUN / 2
listening / VERB / 1
whistle / NOUN / 1
wings / NOUN / 1
pilot / NOUN / 1
landed / VERB / 1
plane / NOUN / 5
airstrip / NOUN / 1
connecticut / NOUN / 1
aircraft / NOUN / 1
stop / NOUN / 3
everyone / PRONOUN / 3
burst / VERB / 1
same / DETERMINER / 10
tension / NOUN / 3
silent / ADJECTIVE / 2
descent / NOUN / 1
concrete / ADJECTIVE / 1
reason / NOUN / 2
none / PRONOUN / 5
unless / CONJUNCTION / 5
skin / NOUN / 2
diving / NOUN / 1
dangerous / ADJECTIVE / 2
existed / VERB / 2
taut-nerved / ADJECTIVE / 1
relationship / NOUN / 1
passengers / NOUN / 1
strained / VERB / 1
cloud / NOUN / 2
arrival / NOUN / 1
sudden / ADJECTIVE / 6
skidding / VERB / 1
sun / NOUN / 2
silently / None / 1
table / NOUN / 2
went / VERB / 9
trailing / VERB / 2
threw / VERB / 2
back / None / 11
cushion / NOUN / 2
seats / NOUN / 1
unlocked / VERB / 1
padlock / NOUN / 1
chest / NOUN / 3
beneath / PREPOSITION / 1
presently / None / 1
straightened / VERB / 1
holding / VERB / 2
long / ADJECTIVE / 6
knife / NOUN / 2
wicked / ADJECTIVE / 1
looking / ADJECTIVE / 1
spear / NOUN / 2
gun / NOUN / 6
whistled / VERB / 1
softly / None / 1
hydraulic / ADJECTIVE / 1
best / ADJECTIVE / 11
kicked / VERB / 1
locker / NOUN / 1
lid / NOUN / 1
shut / VERB / 2
replaced / VERB / 1
efficient / ADJECTIVE / 2
deadliest / ADJECTIVE / 1
commented / VERB / 2
buckled / VERB / 1
on / None / 8
tank / NOUN / 2
harness / NOUN / 3
do / VERB / 22
arsenal / NOUN / 1
apprehensively / None / 1
staring / VERB / 1
weapon / NOUN / 1
codfish / NOUN / 1
there / None / 6
short / ADJECTIVE / 5
nervous / ADJECTIVE / 2
laugh / NOUN / 1
awkwardly / None / 1
swimming / VERB / 3
fins / NOUN / 1
handed / VERB / 1
rolled / VERB / 5
off / PREPOSITION / 5
transom / NOUN / 4
back / NOUN / 5
first / None / 8
water / NOUN / 16
fashion / NOUN / 3
out / PREPOSITION / 4
sight / NOUN / 1
leaving / VERB / 4
behind / None / 1
string / NOUN / 1
bubbles / NOUN / 5
clue / NOUN / 1
whereabouts / NOUN / 1
while / NOUN / 1
twisting / VERB / 1
course / NOUN / 15
wondering / VERB / 1
set / NOUN / 3
close / ADJECTIVE / 4
together / None / 4
air / NOUN / 6
trail / NOUN / 1
wiggling / VERB / 1
serpents / NOUN / 1
traveling / VERB / 2
side / NOUN / 9
eventually / None / 1
sparkle / NOUN / 1
surface / NOUN / 3
over / None / 12
clasping / VERB / 1
hands / NOUN / 1
head / NOUN / 11
stared / VERB / 1
blue / ADJECTIVE / 3
sky / NOUN / 2
alfredo / NOUN / 2
enjoyed / VERB / 2
next / None / 2
loneliest / ADJECTIVE / 1
spot / NOUN / 2
desert / NOUN / 1
elaine's / NOUN / 1
uncle / NOUN / 1
stuck / VERB / 2
aloneness / NOUN / 1
still / None / 12
alive / ADJECTIVE / 2
wanted / VERB / 5
money / NOUN / 7
roam / VERB / 2
deserts / NOUN / 1
graham / NOUN / 3
among / PREPOSITION / 5
dice / NOUN / 1
tables / NOUN / 2
las / NOUN / 1
vegas / NOUN / 1
odd / ADJECTIVE / 1
combination / NOUN / 1
strange / ADJECTIVE / 1
pair / NOUN / 2
stumble / VERB / 1
wreck / NOUN / 1
trinidad / NOUN / 1
hadn't / VERB / 5
stumbled / VERB / 1
two / CONJUNCTION / 19
weeks / NOUN / 5
prior / None / 2
charter / NOUN / 2
virginia / NOUN / 7
snooping / VERB / 1
around / PREPOSITION / 6
helicopter / NOUN / 1
steel / NOUN / 1
skids / NOUN / 1
churned / VERB / 1
offshore / None / 1
raised / VERB / 4
watch / VERB / 2
heading / VERB / 1
south / NOUN / 4
hell / NOUN / 2
note / NOUN / 1
thought / VERB / 4
couple / NOUN / 2
couldn't / MODAL_AUXILIARY / 8
even / VERB / 1
find / VERB / 5
secluded / VERB / 1
anywhere / None / 2
beach / NOUN / 2
neck / VERB / 1
nowadays / None / 1
someone / PRONOUN / 4
swooping / VERB / 1
thing / NOUN / 9
yesterday / NOUN / 2
eyeful / NOUN / 1
west / NOUN / 3
beautiful / ADJECTIVE / 1
schooner / NOUN / 1
beat / VERB / 2
way / NOUN / 11
headed / VERB / 3
tack / NOUN / 1
san / NOUN / 1
clemente / NOUN / 1
cabin / NOUN / 2
drifted / VERB / 1
crossways / None / 1
ground-swell / NOUN / 1
lone / ADJECTIVE / 1
fisherman / NOUN / 2
chair / NOUN / 2
aft / None / 1
middle / NOUN / 3
recalled / VERB / 1
stories / NOUN / 1
fishing / VERB / 2
spots / NOUN / 2
dropped / VERB / 2
fantastic / ADJECTIVE / 1
depths / NOUN / 1
almost / None / 4
shoreline / NOUN / 1
someday / None / 1
geologists / NOUN / 1
warned / VERB / 2
land / NOUN / 3
both / OTHER / 10
sides / NOUN / 4
deeps / NOUN / 1
fall / VERB / 3
la / NOUN / 1
jolla / NOUN / 1
meanwhile / None / 1
fishermen / NOUN / 1
advantage / NOUN / 2
pull / VERB / 1
whoppers / NOUN / 1
sometimes / None / 1
fish / NOUN / 1
exploded / VERB / 4
neared / VERB / 1
pressure / NOUN / 4
along / None / 3
trip / NOUN / 7
skindive / VERB / 1
run / VERB / 3
except / PREPOSITION / 3
sea / NOUN / 2
stood / VERB / 2
stretched / VERB / 3
see / VERB / 8
strolling / VERB / 1
galley / NOUN / 1
lit / VERB / 1
butane / NOUN / 1
coffee / NOUN / 1
pot / NOUN / 1
brew / NOUN / 1
heated / VERB / 1
poured / VERB / 1
cup / NOUN / 1
turning / VERB / 3
hi-fi / NOUN / 1
cushions / NOUN / 1
listened / VERB / 1
returned / VERB / 4
